Lexeme          LineNo TokenName              ValueIfNumber Parent                 isLeaf   Node                  
eps            	 0  	 eps                   	 ----      	 declarations          	 yes 	 eps                   	 
----           	 0  	 declarations          	 ----      	 declarations          	 no  	 declarations          	 
b5b567         	 85 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 85 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
1              	 85 	 TK_NUM                	 1         	 var                   	 yes 	 TK_NUM                	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
;              	 85 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 stmts                 	 no  	 otherStmts            	 
d3             	 86 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 86 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
0.00           	 86 	 TK_RNUM               	 0.00000   	 var                   	 yes 	 TK_RNUM               	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
;              	 86 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
while          	 87 	 TK_WHILE              	 ----      	 iterativeStmt         	 yes 	 TK_WHILE              	 
----           	 0  	 iterativeStmt         	 ----      	 stmt                  	 no  	 iterativeStmt         	 
(              	 87 	 TK_OP                 	 ----      	 iterativeStmt         	 yes 	 TK_OP                 	 
b5b567         	 87 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 booleanExpression     	 no  	 var                   	 
----           	 0  	 booleanExpression     	 ----      	 iterativeStmt         	 no  	 booleanExpression     	 
<=             	 87 	 TK_LE                 	 ----      	 relationalOp          	 yes 	 TK_LE                 	 
----           	 0  	 relationalOp          	 ----      	 booleanExpression     	 no  	 relationalOp          	 
d5cc34         	 87 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 booleanExpression     	 no  	 var                   	 
)              	 87 	 TK_CL                 	 ----      	 iterativeStmt         	 yes 	 TK_CL                 	 
read           	 88 	 TK_READ               	 ----      	 ioStmt                	 yes 	 TK_READ               	 
----           	 0  	 ioStmt                	 ----      	 stmt                  	 no  	 ioStmt                	 
(              	 88 	 TK_OP                 	 ----      	 ioStmt                	 yes 	 TK_OP                 	 
c3bd           	 88 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 ioStmt                	 no  	 var                   	 
)              	 88 	 TK_CL                 	 ----      	 ioStmt                	 yes 	 TK_CL                 	 
;              	 88 	 TK_SEM                	 ----      	 ioStmt                	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 iterativeStmt         	 no  	 stmt                  	 
d3             	 89 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 89 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
